# qwen35moe (Qwen3.6-35B-A3B-Q4_K_M) per-layer oracle fingerprints
# prompt tokens: 785 3974 13876 38835 35308 916 ; last-token column; sum/absum/v0..v2
# from llama.cpp g35moe_oracle_dbg (cb_eval). Stage-2a localization targets (relative, not bit-exact: oracle Q4 vs SP f32).

ORC final_output-13    ne=[4096,6] sum=0.08662 absum=19.47686 v0=-0.000133 v1=-0.001109 v2=0.013652
ORC linear_attn_out-13 ne=[2048,6] sum=-0.21033 absum=13.32159 v0=0.024647 v1=-0.001348 v2=0.004937
ORC linear_attn_out-13 (reshaped) ne=[2048,6] sum=-0.21033 absum=13.32159 v0=0.024647 v1=-0.001348 v2=0.004937
ORC ffn_moe_out-13     ne=[2048,6] sum=-0.75645 absum=13.76519 v0=-0.000855 v1=0.003533 v2=-0.002113
ORC ffn_out-13         ne=[2048,6] sum=-0.97336 absum=15.05985 v0=0.005974 v1=0.004979 v2=-0.003705
ORC l_out-13           ne=[2048,6] sum=-1.51313 absum=75.26828 v0=-0.037411 v1=0.004957 v2=-0.053784
ORC conv_output_silu-14 ne=[8192,6] sum=29.45683 absum=319.73542 v0=0.421011 v1=0.137941 v2=-0.011971
ORC attn_output-14     ne=[128,32] sum=-0.00004 absum=0.00012 v0=0.000000 v1=-0.000000 v2=-0.000001
ORC final_output-14    ne=[4096,6] sum=-0.08213 absum=21.68528 v0=0.003380 v1=-0.002048 v2=-0.006561
ORC linear_attn_out-14 ne=[2048,6] sum=0.20563 absum=13.34334 v0=0.006078 v1=-0.000335 v2=0.015471
ORC linear_attn_out-14 (reshaped) ne=[2048,6] sum=0.20563 absum=13.34334 v0=0.006078 v1=-0.000335 v2=0.015471
ORC ffn_moe_out-14     ne=[2048,6] sum=-0.13970 absum=12.86652 v0=-0.012539 v1=-0.010634 v2=0.003185
ORC ffn_out-14         ne=[2048,6] sum=-0.31446 absum=16.10826 v0=-0.009391 v1=-0.011773 v2=-0.002485
ORC l_out-14           ne=[2048,6] sum=-1.62196 absum=74.66750 v0=-0.040724 v1=-0.007151 v2=-0.040798
ORC attn_gated-15      ne=[4096,6] sum=1.11656 absum=27.10892 v0=0.010879 v1=-0.000340 v2=-0.008276
ORC attn_output-15     ne=[2048,6] sum=-0.27359 absum=12.21406 v0=-0.000472 v1=0.005051 v2=0.008858
ORC ffn_moe_out-15     ne=[2048,6] sum=-0.35643 absum=15.52751 v0=-0.009341 v1=-0.000398 v2=0.004044
ORC ffn_out-15         ne=[2048,6] sum=-0.45976 absum=16.10453 v0=-0.009942 v1=-0.001728 v2=0.005646
ORC l_out-15           ne=[2048,6] sum=-2.35531 absum=76.65028 v0=-0.051138 v1=-0.003828 v2=-0.026295
ORC conv_output_silu-16 ne=[8192,6] sum=15.51324 absum=255.25367 v0=0.008066 v1=0.032689 v2=0.007953
ORC attn_output-16     ne=[128,32] sum=-0.00188 absum=0.00993 v0=0.000064 v1=0.000078 v2=0.000094
ORC final_output-16    ne=[4096,6] sum=0.14396 absum=17.54702 v0=0.006638 v1=-0.000777 v2=-0.002997
ORC linear_attn_out-16 ne=[2048,6] sum=-0.16737 absum=10.98408 v0=0.012224 v1=-0.005708 v2=-0.005679
ORC linear_attn_out-16 (reshaped) ne=[2048,6] sum=-0.16737 absum=10.98408 v0=0.012224 v1=-0.005708 v2=-0.005679
ORC ffn_moe_out-16     ne=[2048,6] sum=-0.61080 absum=18.43373 v0=-0.010033 v1=-0.004641 v2=0.006340
ORC ffn_out-16         ne=[2048,6] sum=-0.40209 absum=19.00050 v0=-0.008980 v1=-0.001442 v2=0.011157
ORC l_out-16           ne=[2048,6] sum=-2.92476 absum=78.60070 v0=-0.047893 v1=-0.010978 v2=-0.020817
ORC conv_output_silu-17 ne=[8192,6] sum=21.67962 absum=247.98373 v0=-0.007471 v1=-0.003132 v2=-0.010978
ORC attn_output-17     ne=[128,32] sum=-0.00001 absum=0.00001 v0=0.000000 v1=0.000000 v2=-0.000000
ORC final_output-17    ne=[4096,6] sum=-1.07073 absum=17.16269 v0=0.016778 v1=-0.000128 v2=0.000446
ORC linear_attn_out-17 ne=[2048,6] sum=0.56179 absum=11.80481 v0=0.002248 v1=0.000621 v2=-0.000873
ORC linear_attn_out-17 (reshaped) ne=[2048,6] sum=0.56179 absum=11.80481 v0=0.002248 v1=0.000621 v2=-0.000873
ORC ffn_moe_out-17     ne=[2048,6] sum=0.36443 absum=14.32702 v0=-0.016599 v1=-0.005789 v2=-0.001939
ORC ffn_out-17         ne=[2048,6] sum=-0.22735 absum=15.69703 v0=-0.015326 v1=-0.005812 v2=-0.001653
ORC l_out-17           ne=[2048,6] sum=-2.59032 absum=78.45010 v0=-0.060972 v1=-0.016169 v2=-0.023343
ORC conv_output_silu-18 ne=[8192,6] sum=33.05057 absum=274.99825 v0=-0.010546 v1=-0.005797 v2=0.104289
ORC attn_output-18     ne=[128,32] sum=-0.00000 absum=0.00001 v0=-0.000000 v1=-0.000000 v2=0.000000
ORC final_output-18    ne=[4096,6] sum=-0.07974 absum=18.49668 v0=-0.001673 v1=0.007688 v2=0.002266
ORC linear_attn_out-18 ne=[2048,6] sum=1.48510 absum=12.74239 v0=0.004806 v1=0.009289 v2=-0.004825
ORC linear_attn_out-18 (reshaped) ne=[2048,6] sum=1.48510 absum=12.74239 v0=0.004806 v1=0.009289 v2=-0.004825
